Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Unnamed: 7,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins,Year
39,74,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
39,74,3,0,0.006,0.0,0.006,0.0,3,3,1,3,1,2010
40,334,0,1,0.061,0.007,0.068,0.0,4,3,1,4,1,2010
40,334,1,1,0.0,0.0,0.0,0.0,4,3,1,1,1,2010
40,334,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
40,334,3,0,0.004,0.0,0.004,0.0,3,3,1,4,1,2010
41,302,0,1,0.394,0.037,0.43,0.0,4,3,1,4,1,2010
41,302,1,1,0.002,0.0,0.003,0.0,3,3,1,1,1,2010
41,302,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
41,302,3,0,0.005,0.0,0.005,0.0,3,3,1,4,1,2010
42,34,0,1,0.408,0.099,0.506,0.0,3,3,1,4,1,2010
42,34,1,1,0.002,0.001,0.003,0.0,3,3,1,1,1,2010
42,34,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
42,34,3,0,0.007,0.0,0.007,0.0,4,3,1,4,1,2010
43,344,0,1,0.479,0.091,0.57,0.0,3,3,1,4,1,2010
43,344,1,1,0.003,0.001,0.004,0.0,3,3,1,1,1,2010
43,344,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
43,344,3,0,0.007,0.0,0.007,0.0,3,3,1,4,1,2010
44,123,0,1,0.45,0.093,0.543,0.0,3,3,1,4,1,2010
44,123,1,1,0.007,0.001,0.008,0.0,3,3,1,1,1,2010
44,123,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
44,123,3,0,0.006,0.0,0.006,0.0,3,3,1,4,1,2010
45,124,0,1,0.321,0.071,0.392,0.0,3,3,1,4,1,2010
45,124,1,1,0.005,0.0,0.006,0.0,3,3,1,1,1,2010
45,124,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
45,124,3,0,0.028,0.0,0.028,0.0,4,3,1,4,1,2010
46,47,0,1,0.468,0.058,0.526,0.0,3,3,1,4,1,2010
46,47,1,1,0.038,0.0,0.038,0.0,3,3,1,1,1,2010
46,47,2,1,0.001,0.0,0.001,0.0,4,3,1,3,1,2010
46,47,3,0,0.006,0.0,0.006,0.0,3,3,1,4,1,2010
47,96,0,1,0.469,0.063,0.532,0.0,3,3,1,4,1,2010
47,96,1,1,0.027,0.0,0.027,0.0,3,3,1,1,1,2010
47,96,2,1,0.001,0.0,0.001,0.0,4,3,1,3,1,2010
47,96,3,0,0.007,0.0,0.007,0.0,3,3,1,4,1,2010
